Temp,Pres,Hum,Gyroscope,Acceleration
30.363636016845703,999.026123046875,28.026628494262695,"{'x': 0.16034665703773499, 'z': -0.24121172726154327, 'y': 0.30874988436698914}","{'yaw': 193.6453059337601, 'pitch': 359.223534276756, 'roll': 359.781345194121}","{'x': -9.21399974822998, 'z': -7.8195414543151855, 'y': 1.8155803680419922}","{'x': 0.01648632250726223, 'z': 0.956266462802887, 'y': 0.026464389637112617}",2019-06-04 21:42:30.431705
30.45833396911621,999.012451171875,26.668113708496094,"{'x': -0.06458479166030884, 'z': -0.04440147802233696, 'y': -0.0007350482046604156}","{'yaw': 184.5348171282036, 'pitch': 357.8951064525313, 'roll': 346.7035990257499}","{'x': -16.80112075805664, 'z': -14.998674392700195, 'y': 3.755488634109497}","{'x': 0.014304309152066708, 'z': 0.9708882570266724, 'y': 0.02549321949481964}",2019-06-04 21:42:34.214385
30.53409194946289,999.007080078125,27.718610763549805,"{'x': -0.05796390771865845, 'z': -0.038745030760765076, 'y': -0.0037510432302951813}","{'yaw': 178.65417087451868, 'pitch': 355.20840287740896, 'roll': 337.3932127813019}","{'x': -17.43185806274414, 'z': -17.451099395751953, 'y': 4.2407450675964355}","{'x': 0.014061863534152508, 'z': 0.9738126397132874, 'y': 0.026464389637112617}",2019-06-04 21:42:37.966014
30.420455932617188,999.043212890625,27.627826690673828,"{'x': -0.05482862517237663, 'z': -0.03437750041484833, 'y': -0.0051317885518074036}","{'yaw': 174.9878482714609, 'pitch': 352.3193831226553, 'roll': 330.1051704180138}","{'x': -17.533899307250977, 'z': -16.306560516357422, 'y': 4.454421520233154}","{'x': 0.01575898379087448, 'z': 0.9723504185676575, 'y': 0.025736013427376747}",2019-06-04 21:42:41.770155
30.439395904541016,999.04541015625,27.374929428100586,"{'x': -0.04692738503217697, 'z': -0.0315726138651371, 'y': -0.0006668362766504288}","{'yaw': 172.14722723716596, 'pitch': 350.6550359228788, 'roll': 325.6704207974783}","{'x': -17.54734230041504, 'z': -16.049922943115234, 'y': 4.602442741394043}","{'x': 0.01600143127143383, 'z': 0.9716193079948425, 'y': 0.027921147644519806}",2019-06-04 21:42:45.548447
30.53409194946289,999.026123046875,27.929359436035156,"{'x': -0.03513098880648613, 'z': -0.025678426027297974, 'y': -0.00016018375754356384}","{'yaw': 170.86611597530333, 'pitch': 349.9604995993896, 'roll': 324.2259894672769}","{'x': -17.31900978088379, 'z': -16.577495574951172, 'y': 4.567414283752441}","{'x': 0.015031646937131882, 'z': 0.969669759273529, 'y': 0.025736013427376747}",2019-06-04 21:42:49.291660
30.496212005615234,999.030029296875,27.468955993652344,"{'x': -0.03344772383570671, 'z': -0.022049497812986374, 'y': -0.00447695329785347}","{'yaw': 170.98672345566743, 'pitch': 349.08790024423814, 'roll': 323.1711043160089}","{'x': -17.480052947998047, 'z': -17.189897537231445, 'y': 4.524783611297607}","{'x': 0.014546754769980907, 'z': 0.9708882570266724, 'y': 0.026464389637112617}",2019-06-04 21:42:53.041589
30.363636016845703,999.038330078125,28.179014205932617,"{'x': -0.03091486543416977, 'z': -0.019150910899043083, 'y': -0.008742770180106163}","{'yaw': 172.01063711414403, 'pitch': 347.92991851009066, 'roll': 322.6042805771679}","{'x': -17.674402236938477, 'z': -17.14231300354004, 'y': 4.7050957679748535}","{'x': 0.01575898379087448, 'z': 0.9684512615203857, 'y': 0.027192767709493637}",2019-06-04 21:42:56.823589
30.420455932617188,999.05078125,27.089609146118164,"{'x': -0.02962055429816246, 'z': -0.015726475045084953, 'y': -0.0011764895170927048}","{'yaw': 172.43979156007427, 'pitch': 348.5204071468585, 'roll': 322.512827759276}","{'x': -17.47051429748535, 'z': -16.42691421508789, 'y': 4.324868202209473}","{'x': 0.015274092555046082, 'z': 0.973325252532959, 'y': 0.02549321949481964}",2019-06-04 21:43:00.591587
30.515151977539062,999.061279296875,27.42032241821289,"{'x': -0.02225501462817192, 'z': -0.015400164760649204, 'y': -0.0008476190268993378}","{'yaw': 172.73663158140303, 'pitch': 349.10340733497503, 'roll': 323.91865144519386}","{'x': -17.60176658630371, 'z': -16.394851684570312, 'y': 4.521032810211182}","{'x': 0.01624387688934803, 'z': 0.9701571464538574, 'y': 0.027435559779405594}",2019-06-04 21:43:04.369687
30.609848022460938,999.060546875,27.44950294494629,"{'x': -0.018930260092020035, 'z': -0.01410635281354189, 'y': -0.0029114633798599243}","{'yaw': 173.65628923238856, 'pitch': 349.47187469635605, 'roll': 325.7020855544705}","{'x': -17.731578826904297, 'z': -16.790359497070312, 'y': 4.703317165374756}","{'x': 0.015274092555046082, 'z': 0.9716193079948425, 'y': 0.026464389637112617}",2019-06-04 21:43:08.159360
30.609848022460938,999.056884765625,27.579193115234375,"{'x': -0.019124943763017654, 'z': -0.01359915267676115, 'y': 0.001111883670091629}","{'yaw': 174.08242473470565, 'pitch': 350.5349774189693, 'roll': 327.3450602385604}","{'x': -17.45256996154785, 'z': -17.236814498901367, 'y': 4.744850158691406}","{'x': 0.015516539104282856, 'z': 0.9747873544692993, 'y': 0.027192767709493637}",2019-06-04 21:43:11.851248
30.628787994384766,999.04296875,27.485166549682617,"{'x': -0.010571956634521484, 'z': -0.009594175033271313, 'y': -0.007668506354093552}","{'yaw': 176.04685544189303, 'pitch': 350.3276649559601, 'roll': 330.18786351829516}","{'x': -17.5485897064209, 'z': -17.186466217041016, 'y': 4.239185333251953}","{'x': 0.015516539104282856, 'z': 0.9716193079948425, 'y': 0.026464389637112617}",2019-06-04 21:43:15.584638
